,Date,Province,Country,Lat,Long,Confirmed,Dealth,Recovered
150,2020-01-22,N/A,MS Zaandam,0.0,0.0,0.0,0.0,0.0
151,2020-01-22,N/A,Madagascar,-18.766947000000002,46.869107,0.0,0.0,0.0
152,2020-01-22,N/A,Malawi,-13.2543,34.3015,0.0,0.0,0.0
153,2020-01-22,N/A,Malaysia,4.210483999999999,101.97576600000001,0.0,0.0,0.0
154,2020-01-22,N/A,Maldives,3.2028,73.2207,0.0,0.0,0.0
155,2020-01-22,N/A,Mali,17.570692,-3.9961660000000006,0.0,0.0,0.0
156,2020-01-22,N/A,Malta,35.9375,14.3754,0.0,0.0,0.0
157,2020-01-22,N/A,Marshall Islands,7.1315,171.1845,0.0,0.0,0.0
158,2020-01-22,N/A,Mauritania,21.0079,-10.9408,0.0,0.0,0.0
159,2020-01-22,N/A,Mauritius,-20.348404000000002,57.552152,0.0,0.0,0.0
160,2020-01-22,N/A,Mexico,23.6345,-102.5528,0.0,0.0,0.0
161,2020-01-22,N/A,Micronesia,7.4256,150.5508,0.0,0.0,0.0
162,2020-01-22,N/A,Moldova,47.4116,28.3699,0.0,0.0,0.0
163,2020-01-22,N/A,Monaco,43.7333,7.4167,0.0,0.0,0.0
164,2020-01-22,N/A,Mongolia,46.8625,103.8467,0.0,0.0,0.0
165,2020-01-22,N/A,Montenegro,42.708678000000006,19.37439,0.0,0.0,0.0
166,2020-01-22,N/A,Morocco,31.7917,-7.0926,0.0,0.0,0.0
167,2020-01-22,N/A,Mozambique,-18.6657,35.5296,,,0.0
168,2020-01-22,N/A,Mozambique,-18.665695,35.529562,0.0,0.0,0.0
169,2020-01-22,N/A,Namibia,-22.9576,18.4904,0.0,0.0,0.0
170,2020-01-22,N/A,Nepal,28.1667,84.25,0.0,0.0,0.0
171,2020-01-22,N/A,Netherlands,52.1326,5.2913,0.0,0.0,0.0
172,2020-01-22,N/A,New Zealand,-40.9006,174.886,0.0,0.0,0.0
173,2020-01-22,N/A,Nicaragua,12.865416,-85.207229,0.0,0.0,0.0
174,2020-01-22,N/A,Niger,17.607789,8.081666,0.0,0.0,0.0
175,2020-01-22,N/A,Nigeria,9.082,8.6753,0.0,0.0,0.0
176,2020-01-22,N/A,North Macedonia,41.6086,21.7453,0.0,0.0,0.0
177,2020-01-22,N/A,Norway,60.472,8.4689,0.0,0.0,0.0
178,2020-01-22,N/A,Oman,21.512583,55.923255000000005,0.0,0.0,0.0
179,2020-01-22,N/A,Pakistan,30.3753,69.3451,0.0,0.0,0.0
180,2020-01-22,N/A,Panama,8.538,-80.7821,0.0,0.0,0.0
181,2020-01-22,N/A,Papua New Guinea,-6.314993,143.95555,0.0,0.0,0.0
182,2020-01-22,N/A,Paraguay,-23.4425,-58.4438,0.0,0.0,0.0
183,2020-01-22,N/A,Peru,-9.19,-75.0152,0.0,0.0,0.0
184,2020-01-22,N/A,Philippines,12.879721,121.77401699999999,0.0,0.0,0.0
185,2020-01-22,N/A,Poland,51.9194,19.1451,0.0,0.0,0.0
186,2020-01-22,N/A,Portugal,39.3999,-8.2245,0.0,0.0,0.0
187,2020-01-22,N/A,Qatar,25.3548,51.1839,0.0,0.0,0.0
188,2020-01-22,N/A,Romania,45.9432,24.9668,0.0,0.0,0.0
189,2020-01-22,N/A,Russia,61.52401,105.31875600000001,0.0,0.0,0.0
190,2020-01-22,N/A,Rwanda,-1.9403,29.8739,0.0,0.0,0.0
191,2020-01-22,N/A,Saint Kitts and Nevis,17.357822,-62.782998,0.0,0.0,0.0
192,2020-01-22,N/A,Saint Lucia,13.9094,-60.9789,0.0,0.0,0.0
193,2020-01-22,N/A,Saint Vincent and the Grenadines,12.9843,-61.2872,0.0,0.0,0.0
194,2020-01-22,N/A,Samoa,-13.759,-172.1046,0.0,0.0,0.0
195,2020-01-22,N/A,San Marino,43.9424,12.4578,0.0,0.0,0.0
